PTC1	PTC2	PTC3	PTC4	PTC5
374.643907ms	403.834741ms	394.423459ms	398.167579ms	439.545668ms
381.603062ms	411.104825ms	414.943824ms	416.200758ms	409.853202ms
501.233249ms	584.884311ms	405.370464ms	401.255259ms	412.006237ms
385.53103ms	398.334364ms	409.882536ms	407.293932ms	431.183681ms
502.820099ms	403.423213ms	400.214454ms	413.038338ms	403.4451ms
367.188479ms	408.760501ms	417.968677ms	400.570684ms	416.642268ms
370.544449ms	400.054403ms	456.822489ms	422.257342ms	418.493998ms
387.486536ms	409.521684ms	458.426489ms	491.676838ms	449.858005ms
370.608589ms	409.976213ms	400.055236ms	403.711224ms	405.743104ms
372.719097ms	404.724253ms	419.941664ms	417.264612ms	407.095547ms
